Lib = 0.3.0 SN = FFFF-FFFF-FFFF-FFFF
Time [UTC], PresOB [mBar], RH_OB [%], TempOB [C], Temp RTC [C], Bat [V], Pressure [mBar],Temp DH [C]
2024/08/08 16:17:40,987.37,32.93,25.62,26.25,2.77,0.00, NAN
2024/08/08 16:17:45,987.36,32.73,25.62,26.25,2.77,0.00, NAN
2024/08/08 16:17:50,987.38,32.79,25.60,26.25,2.78,0.00, NAN
2024/08/08 16:17:55,987.40,32.72,25.61,26.25,2.78,0.00, NAN
2024/08/08 16:18:00,987.39,32.42,25.61,26.25,2.78,0.00, NAN
2024/08/08 16:18:05,987.40,32.33,25.63,26.25,2.78,0.00, NAN
2024/08/08 16:18:10,987.41,32.28,25.64,26.25,2.77,0.00, NAN
2024/08/08 16:18:15,987.39,32.28,25.64,26.25,2.77,0.00, NAN
2024/08/08 16:18:20,987.40,32.35,25.65,26.25,2.78,0.00, NAN
2024/08/08 16:18:25,987.36,32.29,25.68,26.25,2.78,0.00, NAN
2024/08/08 16:18:30,987.42,32.29,25.68,26.25,2.78,0.00, NAN
2024/08/08 16:18:35,987.38,32.01,25.70,26.25,2.77,0.00, NAN
2024/08/08 16:18:40,987.38,31.99,25.68,26.25,2.77,0.00, NAN
2024/08/08 16:18:45,987.38,32.00,25.71,26.25,2.77,0.00, NAN
2024/08/08 16:18:50,987.32,31.85,25.73,26.25,2.77,0.00, NAN
2024/08/08 16:18:55,987.32,31.91,25.73,26.25,2.78,0.00, NAN
2024/08/08 16:19:00,987.33,31.90,25.75,26.25,2.77,0.00, NAN
2024/08/08 16:19:05,987.39,32.06,25.75,26.25,2.77,0.00, NAN
2024/08/14 16:13:21,988.78,53.26,24.15,24.75,2.78,0.00, NAN
2024/08/14 16:13:26,988.75,43.23,24.08,24.50,2.77,0.00, NAN
2024/08/14 16:13:31,988.76,40.58,24.06,24.50,2.78,0.00, NAN
2024/08/14 16:13:36,988.74,39.34,24.05,24.75,2.78,0.00, NAN
2024/08/14 16:13:41,988.73,38.87,24.05,24.50,2.77,0.00, NAN
2024/08/14 16:13:46,988.72,38.52,24.07,24.50,2.77,0.00, NAN
2024/08/14 16:13:51,988.69,38.29,24.09,24.75,2.77,0.00, NAN
2024/08/14 16:13:56,988.74,38.08,24.15,24.75,2.77,0.00, NAN
